gender,age_group,institute_name,residential_area,percentage_10th,percentage_12th,cgpa,backlog,attended_nursery,reason_college,engineering_branch,reason_course,mother_education_status,mother_job_status,father_education_status,father_job_status,guardian,family_size,parental_relationship_status,family_relationship_quality,family_income,internet_access_home,transport_mode,travel_time,daily_study_time,extracurricular_courses,attended_workshops,community_service,communication_skills,leadership_skills,teamwork_skills,internships_completed,projects_completed,peer_group_quality,time_management,health_status,stress_frequency,stress_coping_mechanisms,hobbies_interests,friends_outing_frequency,romantic_relationship,family_motivation,paid_classes,placement_status,higher_education_interest,alcohol_consumption,smoking,other_addictions,internship_payment_status,PC1,PC2,PC3,PC4,PC5
1,2,41,1,208,426,152,0,0,1,89,3,2,2,4,3,1,1,1,5,2,1,3,3,0,1,1,0,4,4,5,0,1,1,4,5,4,0,50,2,0,1,0,67,0,0,0,0,64,4.102788179819704,-1.5509987336195936,0.44268021677195984,-1.1669227782416947,1.9931871580123932
1,2,123,1,321,389,278,0,1,1,100,3,3,2,0,2,1,1,1,3,2,1,3,3,2,1,0,0,4,5,3,0,1,3,4,3,3,0,72,1,0,1,0,46,1,0,0,0,64,3.549424740365744,-1.198898506461876,0.48180032039661685,-1.6013597962533375,1.2964038004960934
1,2,14,1,274,191,194,0,1,3,90,3,2,4,4,3,1,0,1,1,3,1,2,2,1,1,1,0,2,1,2,0,1,2,2,2,3,1,345,5,0,2,0,46,1,0,0,0,64,-1.4216447552974214,-2.5429336755144885,0.3178596470366722,-0.440824324019061,-0.5236288572990586
1,2,109,0,179,83,270,0,1,3,90,3,4,2,4,2,1,0,1,1,2,1,3,3,0,1,0,0,3,3,2,0,0,1,2,2,2,0,824,3,0,2,0,46,1,0,0,0,64,-0.038243617757261615,-0.3669627508225859,-0.2634050151232376,-0.6417207176842418,-0.8548130877409682
1,2,116,1,224,236,152,0,1,2,100,0,0,2,0,3,1,1,1,1,2,1,3,3,2,0,0,0,5,5,5,0,0,1,3,3,3,0,704,1,0,0,0,46,1,0,0,0,64,4.053824520002131,0.6417589394033584,0.019120624253902745,-0.6839633746623109,0.32204712266096647
1,2,119,1,313,265,186,0,1,3,100,3,4,3,0,3,1,0,1,2,0,1,3,1,0,1,1,1,2,2,1,0,0,2,2,2,2,0,114,3,0,2,0,46,1,0,0,0,64,-1.2155115613166652,-1.520736950232247,0.24793395235819535,-1.2927105212656458,-0.4653329417966664
0,2,10,1,276,356,270,0,1,0,90,3,0,0,4,3,2,1,1,1,2,1,3,0,2,0,1,1,2,2,1,0,1,1,1,2,3,1,34,4,0,2,0,46,1,0,0,0,64,-1.950736436559549,-1.3828347833101375,1.4548722607129516,-1.9996410956178994,-0.653438453424383
1,2,9,1,236,190,135,0,1,1,90,3,4,2,2,3,1,1,1,4,0,1,2,2,2,1,1,0,3,2,2,0,1,2,2,3,2,1,69,5,0,2,0,46,1,0,0,0,64,0.23652099816797367,-2.5332457546313907,-0.32519518068956393,0.08906516898910986,0.19322200338942835
1,2,9,1,310,226,312,0,1,1,89,3,3,2,0,0,0,1,0,1,2,1,0,1,0,1,1,1,3,3,1,0,1,1,2,1,1,1,801,5,0,2,0,46,0,0,0,0,64,-1.6847843589466327,-1.5950665802592414,1.1087112233514358,-0.8026691367359532,0.6957053384849883
0,2,13,1,254,237,240,0,1,1,90,3,3,2,0,0,0,0,1,1,2,0,3,0,2,1,0,0,3,4,2,1,0,3,1,2,5,0,662,3,1,0,0,46,1,0,0,0,64,1.4348939594874577,0.6401493971289752,1.1180379133373903,-1.6076212452850145,0.4849980338409974
1,2,13,1,271,284,278,0,0,3,63,3,3,2,4,4,1,0,1,1,0,0,3,0,2,1,1,1,2,2,1,0,1,1,1,1,2,1,848,5,0,2,0,46,0,0,0,0,64,-2.742596282926151,-1.3063493486712514,1.050964606535188,-1.3702330795007094,0.9013130799687582
